Proteome_ID	tree_tip_label	Tax_ID	species	Proteome Size	busco_score	busco_dataset	pfam_domains_present	KEGG_pathways_present	Reactome_pathways_present	habitat	cellularity	superkingdom	kingdom	phylum	subphylum	class	subclass	superorder	order	suborder	superfamily	family	subfamily	genus	model_organism
UP000009382	NANSJ	889962	Candidatus Nanosalinarum sp. J07AB56	1402	55.9	archaea_odb12	607	0	64.3603668089557	NA	NA	Archaea	NA	Euryarchaeota	Candidatus Nanohaloarchaeota	Nanohaloarchaea	NA	NA	NA	NA	NA	NA	NA	Candidatus Nanosalinarum	n
UP000014070	METII	1295009	Candidatus Methanomassiliicoccus intestinalis	1826	97.9	archaea_odb12	1102	23.91016801763581	71.9533192714445	NA	NA	Archaea	NA	Candidatus Thermoplasmatota	NA	Thermoplasmata	NA	NA	Methanomassiliicoccales	NA	NA	Methanomassiliicoccaceae	NA	Methanomassiliicoccus	n
UP000012672	METAX	1236689	Candidatus Methanomethylophilus alvus	1643	97.4	archaea_odb12	1057	23.324626654643	68.04106809791652	NA	NA	Archaea	NA	Candidatus Thermoplasmatota	NA	Thermoplasmata	NA	NA	Methanomassiliicoccales	NA	NA	Candidatus Methanomethylophilaceae	NA	Candidatus Methanomethylophilus	n
UP000001400	ACIB4	439481	Aciduliprofundum boonei	1539	95.9	archaea_odb12	1075	22.693668849390445	71.63202485192252	NA	NA	Archaea	NA	Candidatus Thermoplasmatota	NA	NA	NA	NA	NA	NA	NA	NA	NA	Aciduliprofundum	n
UP000001024	THEAC	273075	Thermoplasma acidophilum	1482	94.4	archaea_odb12	1017	25.675927599920517	70.04526205433001	NA	NA	Archaea	NA	Candidatus Thermoplasmatota	NA	Thermoplasmata	NA	NA	Thermoplasmatales	NA	NA	Thermoplasmataceae	NA	Thermoplasma	n
UP000000438	PICTO	263820	Picrophilus torridus	1535	95.4	archaea_odb12	1048	31.48093145265469	71.00366943604325	NA	NA	Archaea	NA	Candidatus Thermoplasmatota	NA	Thermoplasmata	NA	NA	Thermoplasmatales	NA	NA	Picrophilaceae	NA	Picrophilus	n
UP000008037	NITGG	1237085	Candidatus Nitrososphaera gargensis	3523	93.8	archaea_odb12	1196	30.071002183253707	73.86431767465386	NA	NA	Archaea	NA	Thaumarchaeota	NA	Nitrososphaeria	NA	NA	Nitrososphaerales	NA	NA	Nitrososphaeraceae	NA	Nitrososphaera	n
UP000000792	NITMS	436308	Nitrosopumilus maritimus	1795	92.8	archaea_odb12	1029	27.64815806972713	70.3687453999012	NA	NA	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	Nitrosopumilales	NA	NA	Nitrosopumilaceae	NA	Nitrosopumilus	n
UP000000758	CENSY	414004	Cenarchaeum symbiosum	2022	89.2	archaea_odb12	965	25.464297993287524	68.3203510208302	NA	NA	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	Cenarchaeales	NA	NA	Cenarchaeaceae	NA	Cenarchaeum	n
UP000001013	PYRFU	186497	Pyrococcus furiosus	2045	99	archaea_odb12	1225	27.405663985494392	70.43348305698932	NA	NA	Archaea	NA	Euryarchaeota	NA	Thermococci	NA	NA	Thermococcales	NA	NA	Thermococcaceae	NA	Pyrococcus	n
UP000053279	NANST	1294122	Candidatus Nanobsidianus stetteri	647	55.4	archaea_odb12	436	0	51.16952948163797	NA	NA	Archaea	NA	Nanoarchaeota	NA	NA	NA	NA	Nanoarchaeales	NA	NA	Nanopusillaceae	NA	Candidatus Nanobsidianus	n
UP000000578	NANEQ	228908	Nanoarchaeum equitans	536	56.9	archaea_odb12	410	4.930929651154337	54.51304103066395	NA	NA	Archaea	NA	Nanoarchaeota	NA	NA	NA	NA	Nanoarchaeales	NA	NA	Nanoarchaeaceae	NA	Nanoarchaeum	n
UP000001686	KORCO	374847	Candidatus Korarchaeum cryptofilum	1602	87.7	archaea_odb12	1011	24.98581131995586	90.42681596264607	NA	NA	Archaea	NA	Candidatus Korarchaeota	NA	NA	NA	NA	NA	NA	NA	NA	NA	Candidatus Korarchaeum	n
UP000000641	THEPD	368408	Thermofilum pendens	1876	89.2	archaea_odb12	981	20.27219359282589	63.556713255769644	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Thermoproteales	NA	NA	Thermofilaceae	NA	Thermofilum	n
UP000006681	VULDI	572478	Vulcanisaeta distributa	2493	94.9	archaea_odb12	1145	32.801035219208075	77.15295630424147	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Thermoproteales	NA	NA	Thermoproteaceae	NA	Vulcanisaeta	n
UP000005270	THEC1	1184251	Thermogladius calderae	1414	91.3	archaea_odb12	893	18.851057027047997	62.686826754302146	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Desulfurococcales	NA	NA	Desulfurococcaceae	NA	Thermogladius	n
UP000007391	FERFK	1163730	Fervidicoccus fontis	1384	92.8	archaea_odb12	906	17.900301036156215	63.219394923471896	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Fervidicoccales	NA	NA	Fervidicoccaceae	NA	Fervidicoccus	n
UP000008458	ACIHW	933801	Acidianus hospitalis	2329	94.4	archaea_odb12	1126	28.31209864768148	70.98525446293576	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Sulfolobales	NA	NA	Sulfolobaceae	NA	Acidianus	n
UP000001037	PYRF1	694429	Pyrolobus fumarii	1967	96.9	archaea_odb12	1029	23.76823671967304	89.70471950752649	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Desulfurococcales	NA	NA	Pyrodictiaceae	NA	Pyrolobus	n
UP000010469	CALLD	1056495	Caldisphaera lagunensis	1477	91.3	archaea_odb12	964	23.979057543644064	64.9352386261046	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Acidilobales	NA	NA	Caldisphaeraceae	NA	Caldisphaera	n
UP000000346	ACIS3	666510	Acidilobus saccharovorans	1499	89.2	archaea_odb12	957	21.871372996476627	62.60463578809054	NA	NA	Archaea	NA	Crenarchaeota	NA	Thermoprotei	NA	NA	Acidilobales	NA	NA	Acidilobaceae	NA	Acidilobus	n
UP000001826	METKA	190192	Methanopyrus kandleri	1687	95.9	archaea_odb12	1063	22.31206305635362	64.62233792906002	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanopyri	NA	NA	Methanopyrales	NA	NA	Methanopyraceae	NA	Methanopyrus	n
UP000008680	METRM	634498	Methanobrevibacter ruminantium	2209	97.9	archaea_odb12	1271	26.38400567539714	70.68640310777936	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanobacteria	NA	NA	Methanobacteriales	NA	NA	Methanobacteriaceae	NA	Methanobrevibacter	n
UP000002315	METFV	523846	Methanothermus fervidus	1283	97.4	archaea_odb12	1052	22.510531711128582	70.32694926584458	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanobacteria	NA	NA	Methanobacteriales	NA	NA	Methanothermaceae	NA	Methanothermus	n
UP000007722	METV3	456320	Methanococcus voltae	1658	97.4	archaea_odb12	1149	23.055689280223024	66.59954934695863	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanococci	NA	NA	Methanococcales	NA	NA	Methanococcaceae	NA	Methanococcus	n
UP000000805	METJA	243232	Methanocaldococcus jannaschii	1787	97.9	archaea_odb12	1208	23.243356364634547	64.67505592502606	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanococci	NA	NA	Methanococcales	NA	NA	Methanocaldococcaceae	NA	Methanocaldococcus	n
UP000001901	ARCPA	572546	Archaeoglobus profundus	1822	98.5	archaea_odb12	1170	24.413497157324066	85.40367573452362	NA	NA	Archaea	NA	Euryarchaeota	NA	Archaeoglobi	NA	NA	Archaeoglobales	NA	NA	Archaeoglobaceae	NA	Archaeoglobus	n
UP000000365	METLZ	410358	Methanocorpusculum labreanum	1739	97.9	archaea_odb12	1212	26.047008759746245	92.36181926014604	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanomicrobia	NA	NA	Methanomicrobiales	NA	NA	Methanocorpusculaceae	NA	Methanocorpusculum	n
UP000001941	METHJ	323259	Methanospirillum hungatei	3087	99.5	archaea_odb12	1490	28.00465973986371	75.43241795423027	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanomicrobia	NA	NA	Methanomicrobiales	NA	NA	Methanospirillaceae	NA	Methanospirillum	n
UP000002457	METPE	521011	Methanosphaerula palustris	2655	100	archaea_odb12	1414	27.7166652382858	74.4738018811719	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanomicrobia	NA	NA	Methanomicrobiales	NA	NA	Methanoregulaceae	NA	Methanosphaerula	n
UP000009007	METBM	1201294	Methanoculleus bourgensis	2575	96.4	archaea_odb12	1457	26.984665375648735	72.98421407471025	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanomicrobia	NA	NA	Methanomicrobiales	NA	NA	Methanomicrobiaceae	NA	Methanoculleus	n
UP000000674	METTP	349307	Methanothrix thermoacetophila	1673	99.5	archaea_odb12	1193	24.12415195885817	69.65965209507732	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanomicrobia	NA	NA	Methanosarcinales	NA	NA	Methanotrichaceae	NA	Methanothrix	n
UP000000391	METEZ	644295	Methanohalobium evestigatum	2250	100	archaea_odb12	1340	26.10262555905776	70.3323186346262	NA	NA	Archaea	NA	Euryarchaeota	NA	Methanomicrobia	NA	NA	Methanosarcinales	NA	NA	Methanosarcinaceae	NA	Methanohalobium	n
